id,name,ppdId
1101,PPK BAHAGIA PERMAI,11
1102,PPK MARGACINTA,11
1103,PPK SBM,11
1201,PPK CIGANITRI MUKTI,11
1202,PPK GBA,11
1203,PPK GBI,11
1204,PPK PASIRPOGOR,11
1301,PPK MARGAHAYU BARAT,13
1302,PPK MARGAHAYU SELATAN,13
1303,PPK MARGAHAYU UTARA,13
1401,PPK KEMBAR BARAT,14
1402,PPK KEMBAR TIMUR,14
1403,PPK KOTA BARU,14
1404,PPK M. RAMDAN,14
1405,PPK NITIPRAJA,14
1406,PPK PASIRLUYU,14
1407,PPK PASIRSALAM,14
1501,PPK DARUSSALAM 1,15
1502,PPK DARUSSALAM 2,15
1503,PPK SALUYU,15
1601,PPK CIBOLERANG,16
1602,PPK PANJUNAN,16
1603,PPK PANYILEUKAN,16
1604,PPK PARASDI,16
1605,PPK PASADENA,16
1606,PPK PASIRKOJA,16
1607,PPK SUKALEUEUR,16
